site_id,region,latitude,longitude,signal_strength,status
400000,Stockholm,59.337666,18.030601,-88.1,active
400001,Gothenburg,57.687272,11.9428,-71.3,maintenance
400002,Malmo,55.580216,12.997554,-96.9,active
400003,Uppsala,59.84256,17.647061,-77.8,offline
400004,Vasteras,59.620093,16.548395,-90.1,maintenance
400005,Orebro,59.261991,15.242944,-70.7,active
400006,Linkoping,58.422688,15.60862,-92.4,active
400007,Jonkoping,57.758733,14.152194,-85.1,active
400008,Vaxjo,56.885224,14.83047,-71.7,maintenance
400009,Lulea,65.56229,22.188484,-95.2,active
400010,Umea,63.845564,20.272482,-67.0,maintenance
400011,Helsingborg,56.028037,12.660064,-74.2,active
400012,Norrkoping,58.616813,16.220825,-66.8,degraded
400013,Sundsvall,62.377478,17.317755,-84.9,active
400014,Gavle,60.666216,17.154914,-72.7,offline
400015,Stockholm,59.338182,18.07733,-91.8,offline
400016,Gothenburg,57.693589,11.971581,-88.3,offline
400017,Malmo,55.61629,12.981369,-86.3,active
400018,Uppsala,59.842343,17.601468,-86.6,active
400019,Vasteras,59.585071,16.577851,-77.6,offline
400020,Orebro,59.264181,15.225835,-83.8,offline
400021,Linkoping,58.408331,15.60259,-89.1,maintenance
400022,Jonkoping,57.784939,14.181561,-82.6,maintenance
400023,Vaxjo,56.872964,14.783446,-62.1,maintenance
400024,Lulea,65.584411,22.175163,-67.0,active
400025,Umea,63.833447,20.286366,-82.8,active
400026,Helsingborg,56.039586,12.702171,-81.2,active
400027,Norrkoping,58.615965,16.221262,-97.6,offline
400028,Sundsvall,62.367673,17.337683,-71.0,offline
400029,Gavle,60.665311,17.12478,-92.3,active
400030,Stockholm,59.356529,18.098668,-88.5,maintenance
400031,Gothenburg,57.724618,11.975215,-94.2,offline
400032,Malmo,55.592907,13.014916,-76.1,active
400033,Uppsala,59.851035,17.611824,-63.7,maintenance
400034,Vasteras,59.63621,16.552716,-80.4,active
400035,Orebro,59.301046,15.243698,-68.1,active
400036,Linkoping,58.395167,15.60067,-77.6,active
400037,Jonkoping,57.757739,14.160679,-95.5,maintenance
400038,Vaxjo,56.89495,14.776171,-80.9,maintenance
400039,Lulea,65.564708,22.156914,-76.2,active
400040,Umea,63.851535,20.283421,-73.2,offline
400041,Helsingborg,56.035203,12.734112,-74.6,degraded
400042,Norrkoping,58.611677,16.188519,-89.1,active
400043,Sundsvall,62.381085,17.313965,-89.7,active
400044,Gavle,60.645331,17.157927,-95.9,active
400045,Stockholm,59.353625,18.097371,-95.4,active
400046,Gothenburg,57.695609,11.973433,-78.6,offline
400047,Malmo,55.631131,13.009483,-81.0,degraded
400048,Uppsala,59.87705,17.614133,-94.5,degraded
400049,Vasteras,59.602358,16.537688,-66.9,active
400050,Orebro,59.285702,15.252133,-94.5,degraded
400051,Linkoping,58.424493,15.645447,-94.1,active
400052,Jonkoping,57.764013,14.157689,-82.8,active
400053,Vaxjo,56.876758,14.835859,-95.3,maintenance
400054,Lulea,65.560675,22.166872,-78.5,active
400055,Umea,63.85394,20.297109,-67.4,active
400056,Helsingborg,56.040885,12.693009,-66.9,active
400057,Norrkoping,58.567578,16.152572,-83.9,degraded
400058,Sundsvall,62.377915,17.322627,-71.7,maintenance
400059,Gavle,60.684612,17.140234,-91.2,active
400060,Stockholm,59.357423,18.074934,-78.5,offline
400061,Gothenburg,57.697716,11.938611,-80.8,maintenance
400062,Malmo,55.584446,13.040662,-95.1,active
400063,Uppsala,59.832711,17.604337,-67.0,degraded
400064,Vasteras,59.588293,16.576023,-89.1,maintenance
400065,Orebro,59.247684,15.179959,-74.3,maintenance
400066,Linkoping,58.412167,15.656177,-90.6,offline
400067,Jonkoping,57.771451,14.143049,-93.3,offline
400068,Vaxjo,56.867,14.791194,-70.9,active
400069,Lulea,65.555359,22.164393,-77.7,active
400070,Umea,63.800196,20.240052,-88.5,active
400071,Helsingborg,56.069352,12.724842,-84.7,active
400072,Norrkoping,58.583991,16.195857,-87.1,offline
400073,Sundsvall,62.392536,17.320329,-78.0,offline
400074,Gavle,60.651115,17.17155,-88.5,active
400075,Stockholm,59.343845,18.041036,-87.9,active
400076,Gothenburg,57.721957,11.950888,-75.2,active
400077,Malmo,55.605325,12.98389,-65.3,active
400078,Uppsala,59.834138,17.632786,-88.0,active
400079,Vasteras,59.601113,16.515266,-62.7,active
400080,Orebro,59.289774,15.217534,-82.6,active
400081,Linkoping,58.387512,15.657004,-73.1,active
400082,Jonkoping,57.785335,14.188568,-77.0,active
400083,Vaxjo,56.874787,14.769246,-84.9,active
400084,Lulea,65.608735,22.131506,-89.0,active
400085,Umea,63.817021,20.267791,-66.5,maintenance
400086,Helsingborg,56.061469,12.728561,-89.5,active
400087,Norrkoping,58.616272,16.217262,-66.3,active
400088,Sundsvall,62.371562,17.340859,-69.8,degraded
400089,Gavle,60.693034,17.170425,-68.8,active
400090,Stockholm,59.308852,18.084702,-84.2,active
400091,Gothenburg,57.730416,11.952395,-68.6,degraded
400092,Malmo,55.59598,13.029443,-66.6,active
400093,Uppsala,59.83002,17.61435,-86.2,active
400094,Vasteras,59.639113,16.52713,-74.9,degraded
400095,Orebro,59.286071,15.240893,-86.1,active
400096,Linkoping,58.387721,15.659032,-91.6,active
400097,Jonkoping,57.754895,14.169526,-85.6,active
400098,Vaxjo,56.875184,14.844639,-93.8,maintenance
400099,Lulea,65.566205,22.118251,-82.3,maintenance
400100,Umea,63.851335,20.266076,-72.1,offline
400101,Helsingborg,56.060722,12.670263,-82.5,offline
400102,Norrkoping,58.612946,16.202252,-74.1,active
400103,Sundsvall,62.403985,17.290926,-86.9,degraded
400104,Gavle,60.664471,17.157077,-78.0,active
400105,Stockholm,59.324527,18.103829,-73.6,active
400106,Gothenburg,57.715831,11.958676,-78.3,active
400107,Malmo,55.593232,12.980615,-69.7,maintenance
400108,Uppsala,59.867882,17.636099,-82.1,active
400109,Vasteras,59.61177,16.568299,-63.4,offline
400110,Orebro,59.255481,15.180184,-79.4,offline
400111,Linkoping,58.417956,15.588871,-63.7,active
400112,Jonkoping,57.792968,14.139771,-90.8,active
400113,Vaxjo,56.851773,14.844615,-76.0,active
400114,Lulea,65.582125,22.185591,-77.3,offline
400115,Umea,63.837581,20.26255,-89.2,offline
400116,Helsingborg,56.057757,12.725913,-67.0,active
400117,Norrkoping,58.604405,16.169907,-69.1,offline
400118,Sundsvall,62.391877,17.270917,-89.0,active
400119,Gavle,60.672288,17.165413,-74.0,maintenance
400120,Stockholm,59.335027,18.104603,-65.9,maintenance
400121,Gothenburg,57.7278,12.005962,-82.6,maintenance
400122,Malmo,55.601755,12.976533,-67.0,degraded
400123,Uppsala,59.844151,17.618679,-75.0,maintenance
400124,Vasteras,59.610176,16.52394,-82.2,offline
400125,Orebro,59.262444,15.195137,-86.5,maintenance
400126,Linkoping,58.385635,15.593466,-84.2,active
400127,Jonkoping,57.794985,14.126938,-83.3,maintenance
400128,Vaxjo,56.876955,14.770881,-68.0,degraded
400129,Lulea,65.60909,22.161426,-73.0,maintenance
400130,Umea,63.818623,20.223472,-85.3,degraded
400131,Helsingborg,56.067707,12.730774,-82.9,offline
400132,Norrkoping,58.601778,16.216389,-65.7,degraded
400133,Sundsvall,62.373965,17.301767,-97.0,active
400134,Gavle,60.685032,17.165151,-71.9,degraded
400135,Stockholm,59.354472,18.107058,-78.8,degraded
400136,Gothenburg,57.714414,11.98764,-95.0,degraded
400137,Malmo,55.583142,13.000736,-96.2,degraded
400138,Uppsala,59.848241,17.635276,-85.8,degraded
400139,Vasteras,59.597795,16.580896,-82.8,active
400140,Orebro,59.273518,15.233322,-96.1,active
400141,Linkoping,58.394253,15.586889,-63.5,active
400142,Jonkoping,57.797854,14.197769,-90.8,active
400143,Vaxjo,56.88628,14.784984,-81.0,active
400144,Lulea,65.588638,22.132137,-72.8,active
400145,Umea,63.805867,20.27158,-71.1,active
400146,Helsingborg,56.063168,12.667601,-86.8,maintenance
400147,Norrkoping,58.559241,16.177357,-73.6,degraded
400148,Sundsvall,62.384599,17.324101,-95.3,offline
400149,Gavle,60.694734,17.120728,-72.9,active
400150,Stockholm,59.350318,18.076633,-93.6,maintenance
400151,Gothenburg,57.725858,11.962376,-82.6,active
400152,Malmo,55.579137,13.015603,-97.5,degraded
400153,Uppsala,59.87794,17.607343,-63.4,offline
400154,Vasteras,59.634595,16.541579,-92.5,active
400155,Orebro,59.289328,15.250638,-88.3,maintenance
400156,Linkoping,58.427278,15.61859,-68.3,maintenance
400157,Jonkoping,57.768704,14.189937,-68.1,active
400158,Vaxjo,56.865736,14.801964,-71.0,maintenance
400159,Lulea,65.59142,22.145019,-97.0,active
400160,Umea,63.80671,20.23997,-69.3,active
400161,Helsingborg,56.03328,12.702192,-66.3,maintenance
400162,Norrkoping,58.558309,16.228245,-94.9,offline
400163,Sundsvall,62.385186,17.311314,-89.3,degraded
400164,Gavle,60.683654,17.140566,-69.5,active
400165,Stockholm,59.316954,18.060952,-89.2,offline
400166,Gothenburg,57.713793,11.972461,-78.9,degraded
